账户ID,风险等级,风险评分
5662,中风险,20.0
5660,中风险,20.0
1229,中风险,20.0
3386,中风险,20.0
8085,中风险,20.0
1247,中风险,20.0
10990,中风险,20.0
2422,高风险,40.0
7364,中风险,20.0
10067,中风险,20.0
5661,中风险,20.0
1233,中风险,20.0
8089,中风险,20.0
8087,中风险,20.0
10066,中风险,20.0
5659,中风险,20.0
10988,中风险,20.0
1242,中风险,20.0
5657,中风险,20.0
7372,中风险,20.0
5649,中风险,20.0
1239,中风险,20.0
3384,中风险,20.0
6968,中风险,20.0
3784,中风险,20.0
6963,中风险,20.0
1241,中风险,20.0
10068,中风险,20.0
3768,低风险,0.0
3780,中风险,20.0
3782,中风险,20.0
10989,中风险,20.0
5666,中风险,20.0
10059,低风险,28.0
5328,低风险,28.0
3382,中风险,20.0
10411,中风险,20.0
3773,中风险,20.0
10426,低风险,20.0
1230,中风险,20.0
8091,中风险,20.0
3388,中风险,20.0
8445,低风险,0.0
10055,中风险,20.0
7018,低风险,0.0
10978,低风险,0.0
3772,中风险,20.0
3378,中风险,20.0
8927,低风险,15.0
3778,低风险,15.0
3393,中风险,20.0
8753,高风险,40.0
2413,高风险,40.0
10064,低风险,0.0
10063,中风险,20.0
11038,中风险,20.0
9874,中风险,20.0
9870,中风险,20.0
3472,高风险,40.0
2971,中风险,20.0
93,中风险,20.0
7860,中风险,20.0
2969,中风险,20.0
89,中风险,20.0
9871,中风险,20.0
10549,中风险,20.0
7853,中风险,20.0
4625,高风险,40.0
10548,中风险,20.0
1521,中风险,20.0
6585,中风险,20.0
92,中风险,20.0
10553,低风险,10.0
1524,中风险,20.0
9873,中风险,20.0
7851,中风险,20.0
6588,中风险,20.0
6242,低风险,0.0
91,低风险,0.0
9861,中风险,20.0
10543,中风险,20.0
7859,中风险,20.0
6581,中风险,20.0
9875,中风险,20.0
6236,低风险,0.0
198,低风险,0.0
98,中风险,20.0
97,中风险,20.0
6571,中风险,20.0
113,高风险,40.0
6570,中风险,20.0
10546,中风险,20.0
87,中风险,20.0
4629,高风险,40.0
11040,中风险,20.0
1516,中风险,20.0
11032,中风险,20.0
11036,中风险,20.0
7857,中风险,20.0
4179,低风险,0.0
11039,中风险,20.0
6575,中风险,20.0
6243,中风险,20.0
1520,中风险,20.0
6229,中风险,20.0
185,中风险,20.0
189,中风险,20.0
6574,中风险,20.0
3158,低风险,0.0
