账户ID,账户类型,风险标签编码,风险标签,总交易笔数,转出总金额,转入总金额,净流入金额,自环笔数,风险评分
6396,对公,0,其它,1167,193198844.22,436742.54,-192762101.68,18,60.0
9914,对公,0,其它,1167,193198844.22,436742.54,-192762101.68,18,60.0
7629,对公,0,其它,15834,602987091.42,136709260.4,-466277831.02,188,60.0
9215,对公,0,其它,15834,602987091.42,136709260.4,-466277831.02,188,60.0
3763,对私,2,受害人,92,2413002.02,2012864.78,-400137.24,0,55.0
7869,对私,2,受害人,64,4280000.0,7340000.0,3060000.0,0,55.0
5319,对私,2,受害人,88,1810000.0,2110000.0,300000.0,0,55.0
8136,对私,0,其它,23,1560000.0,3701676.31,2141676.31,5,53.0
168,对私,0,其它,23,1560000.0,3701676.31,2141676.31,5,53.0
1740,对私,1,嫌疑人,6,0.0,18828.88,18828.88,0,50.0
9484,对私,2,受害人,46,960000.0,752121.16,-207878.84,0,48.0
10410,对私,2,受害人,24,203205.94,319550.24,116344.3,0,48.0
10143,对私,2,受害人,14,0.0,145133.02,145133.02,0,48.0
5466,对私,2,受害人,34,440000.0,0.0,-440000.0,0,48.0
5788,对公,0,其它,17040,2230046080.14,544504.77,-2229501575.37,2,45.0
4059,对公,0,其它,17040,2230046080.14,544504.77,-2229501575.37,2,45.0
5959,对公,0,其它,1685,664227815.28,70655.72,-664157159.56,2,45.0
9096,对公,0,其它,1685,664227815.28,70655.72,-664157159.56,2,45.0
63,对私,2,受害人,136,368060.0,287210.78,-80849.22000000003,0,45.0
2422,对私,1,嫌疑人,0,0.0,0.0,0.0,0,40.0
